CIN,trip_id,Date
1,1,2020-08-24 10:34:02
1,2,2020-08-24 10:35:43
1,3,2020-08-25 19:25:28
1,4,2020-08-26 19:26:25
1,5,2020-08-27 18:58:44
1,6,2020-09-01 23:26:30
1,7,2020-09-07 12:49:00
1,8,2020-09-12 20:57:21
1,9,2020-09-12 20:59:49
1,10,2020-09-12 21:15:05
1,11,2020-10-05 20:38:08
1,12,2020-10-05 20:45:14
1,13,2020-10-06 17:04:12
1,14,2020-10-06 21:26:15
1,15,2020-10-06 21:32:38
1,16,2020-10-06 21:50:17
1,17,2020-10-07 13:12:24
1,18,2020-10-07 13:30:53
1,19,2020-10-07 13:33:52
1,20,2020-10-17 13:47:30
1,21,2020-10-17 13:58:54
2,1,2020-08-24 10:04:59
2,2,2020-08-26 09:56:15
2,3,2020-08-26 14:20:38
2,4,2020-08-26 14:32:00
2,5,2020-08-27 14:00:55
2,6,2020-09-01 22:55:40
2,7,2020-09-01 23:05:52
2,8,2020-09-01 23:10:45
2,9,2020-09-01 23:14:55
2,10,2020-09-02 14:42:34
2,11,2020-09-06 16:34:44
2,12,2020-09-12 17:42:14
2,13,2020-09-16 17:56:37
2,14,2020-09-16 18:24:41
2,15,2020-09-16 18:27:48
2,16,2020-09-17 18:57:39
2,17,2020-09-19 21:49:39
2,18,2020-09-26 21:29:20
2,19,2020-09-26 22:05:49
2,20,2020-09-28 20:38:11
2,21,2020-09-29 14:27:36
2,22,2020-09-30 12:16:37
2,23,2020-09-30 12:22:04
2,24,2020-09-30 14:45:01
2,25,2020-09-30 14:51:21
2,26,2020-09-30 14:56:31
2,27,2020-09-30 21:25:50
2,28,2020-10-01 08:51:59
2,29,2020-10-01 09:09:50
2,30,2020-10-03 20:45:36
2,31,2020-10-03 21:04:48
2,32,2020-10-04 21:24:01
2,33,2020-10-05 07:41:57
2,34,2020-10-05 18:14:00
2,35,2020-10-07 20:30:35
2,36,2020-10-07 21:07:27
2,37,2020-10-08 09:51:42
2,38,2020-10-08 09:59:58
2,39,2020-10-08 17:45:25
2,40,2020-10-10 12:40:20
2,41,2020-10-10 20:44:49
2,42,2020-10-10 21:21:15
2,43,2020-10-10 21:44:06
2,44,2020-10-11 21:03:50
2,45,2020-10-11 21:09:16
2,46,2020-10-12 16:59:06
2,47,2020-10-12 19:56:50
2,48,2020-10-12 20:44:04
2,49,2020-10-12 20:49:45
2,50,2020-10-12 20:52:17
2,51,2020-10-13 08:48:48
3,1,2020-08-24 10:10:57
3,2,2020-08-26 14:49:29
3,3,2020-08-26 19:49:57
3,4,2020-09-01 23:19:53
3,5,2020-09-02 14:35:34
3,6,2020-09-02 14:37:32
3,7,2020-09-07 14:02:29
3,8,2020-09-07 14:09:30
3,9,2020-09-11 15:09:12
3,10,2020-09-12 17:54:37
3,11,2020-09-12 18:03:36
3,12,2020-09-12 18:07:47
3,13,2020-09-12 18:39:53
3,14,2020-09-12 18:42:46
3,15,2020-09-12 18:47:29
3,16,2020-09-14 10:31:27
3,17,2020-09-18 13:34:18
3,18,2020-09-19 21:34:52
3,19,2020-09-19 21:43:44
3,20,2020-09-20 11:11:57
3,21,2020-09-20 11:29:50
3,22,2020-09-21 19:49:46
3,23,2020-09-21 21:05:29
3,24,2020-09-22 07:47:07
3,25,2020-09-23 16:03:34
3,26,2020-09-23 16:26:43
3,27,2020-09-28 16:52:24
3,28,2020-09-28 16:55:03
3,29,2020-09-28 17:06:37
3,30,2020-09-29 14:21:18
3,31,2020-10-03 10:55:32
3,32,2020-10-03 12:40:57
3,33,2020-10-03 12:51:23
3,34,2020-10-03 13:02:31
3,35,2020-10-05 16:47:43
3,36,2020-10-05 16:57:30
3,37,2020-10-08 10:04:34
3,38,2020-10-08 17:25:24
3,39,2020-10-08 17:40:56
3,40,2020-10-10 07:34:15
3,41,2020-10-10 07:43:37
3,42,2020-10-13 08:51:04
3,43,2020-10-17 07:46:28
3,44,2020-10-17 13:34:27
3,45,2020-10-17 19:02:27
3,46,2020-10-19 07:54:48
3,47,2020-10-20 12:06:54
3,48,2020-11-09 08:12:59
3,49,2020-11-09 08:15:48
3,50,2020-11-09 14:58:28
3,51,2020-11-17 09:37:27
3,52,2020-11-17 14:13:24
3,53,2020-11-17 14:15:06
4,1,2020-08-24 10:17:53
4,2,2020-08-24 10:27:59
4,3,2020-09-02 09:36:42
4,4,2020-09-07 13:57:45
4,5,2020-09-26 13:49:01
4,6,2020-10-06 16:47:42
4,7,2020-10-06 16:59:16
4,8,2020-11-17 14:16:01
4,9,2020-11-17 14:22:16
4,10,2020-11-21 08:20:23
